RideID,BookingStatus,IncompleteRide,Rating
R000001,Completed,No,2
R000002,Completed,No,3
R000003,Completed,No,2
R000004,Cancelled,No,5
R000005,Completed,No,4
R000006,Completed,No,5
R000007,Completed,No,1
R000008,Completed,No,1
R000009,Completed,No,3
R000010,Cancelled,No,3
R000011,Completed,No,3
R000012,Cancelled,No,5
R000013,Completed,No,2
R000014,Completed,No,3
R000015,Completed,No,4
R000016,Completed,No,4
R000017,Completed,No,3
R000018,Completed,No,4
R000019,Completed,No,5
R000020,Completed,No,4
R000021,Cancelled,No,2
R000022,Completed,No,1
R000023,Completed,No,3
R000024,Cancelled,No,3
R000025,Incomplete,Yes,1
R000026,Cancelled,No,3
R000027,Completed,No,4
R000028,Completed,No,4
R000029,Completed,No,4
R000030,Completed,No,4
R000031,Cancelled,No,5
R000032,Completed,No,1
R000033,Completed,No,2
R000034,Cancelled,No,3
R000035,Completed,No,5
R000036,Cancelled,No,1
R000037,Completed,No,4
R000038,Completed,No,4
R000039,Completed,No,4
R000040,Completed,No,4
R000041,Cancelled,No,5
R000042,Completed,No,2
R000043,Completed,No,3
R000044,Completed,No,1
R000045,Completed,No,5
R000046,Completed,No,3
R000047,Completed,No,5
R000048,Completed,No,5
R000049,Completed,No,3
R000050,Completed,No,5
R000051,Incomplete,Yes,1
R000052,Completed,No,1
R000053,Completed,No,4
R000054,Incomplete,Yes,2
R000055,Completed,No,2
R000056,Cancelled,No,4
R000057,Completed,No,2
R000058,Completed,No,4
R000059,Completed,No,1
R000060,Completed,No,2
R000061,Completed,No,1
R000062,Completed,No,5
R000063,Completed,No,4
R000064,Completed,No,5
R000065,Completed,No,4
R000066,Completed,No,4
R000067,Incomplete,Yes,1
R000068,Completed,No,1
R000069,Completed,No,2
R000070,Completed,No,1
R000071,Completed,No,3
R000072,Completed,No,4
R000073,Completed,No,3
R000074,Completed,No,5
R000075,Completed,No,5
R000076,Completed,No,5
R000077,Cancelled,No,2
R000078,Completed,No,1
R000079,Completed,No,3
R000080,Incomplete,Yes,5
R000081,Incomplete,Yes,2
R000082,Incomplete,Yes,3
R000083,Completed,No,1
R000084,Completed,No,5
R000085,Completed,No,1
R000086,Completed,No,4
R000087,Completed,No,2
R000088,Completed,No,5
R000089,Incomplete,Yes,1
R000090,Cancelled,No,2
R000091,Completed,No,4
R000092,Completed,No,5
R000093,Completed,No,5
R000094,Completed,No,3
R000095,Completed,No,1
R000096,Completed,No,1
R000097,Incomplete,Yes,2
R000098,Completed,No,1
R000099,Completed,No,1
R000100,Completed,No,2
R000101,Completed,No,4
R000102,Completed,No,1
R000103,Completed,No,3
R000104,Completed,No,4
R000105,Completed,No,4
R000106,Completed,No,2
R000107,Completed,No,3
R000108,Completed,No,3
R000109,Completed,No,4
R000110,Completed,No,3
R000111,Cancelled,No,5
R000112,Completed,No,5
R000113,Incomplete,Yes,4
R000114,Completed,No,1
R000115,Completed,No,5
R000116,Completed,No,1
R000117,Completed,No,3
R000118,Incomplete,Yes,1
R000119,Completed,No,5
R000120,Completed,No,5
R000121,Completed,No,2
R000122,Completed,No,2
R000123,Completed,No,3
R000124,Completed,No,2
R000125,Completed,No,3
R000126,Incomplete,Yes,5
R000127,Completed,No,1
R000128,Completed,No,4
R000129,Cancelled,No,1
R000130,Completed,No,1
R000131,Completed,No,4
R000132,Cancelled,No,3
R000133,Completed,No,2
R000134,Cancelled,No,3
R000135,Completed,No,1
R000136,Completed,No,4
R000137,Completed,No,2
R000138,Completed,No,2
R000139,Incomplete,Yes,4
R000140,Completed,No,3
R000141,Completed,No,1
R000142,Incomplete,Yes,1
R000143,Incomplete,Yes,3
R000144,Completed,No,4
R000145,Completed,No,1
R000146,Completed,No,3
R000147,Completed,No,2
R000148,Completed,No,5
R000149,Completed,No,1
R000150,Completed,No,2
R000151,Completed,No,5
R000152,Completed,No,3
R000153,Completed,No,4
R000154,Completed,No,2
R000155,Completed,No,5
R000156,Cancelled,No,3
R000157,Completed,No,2
R000158,Completed,No,1
R000159,Completed,No,3
R000160,Completed,No,1
R000161,Completed,No,5
R000162,Completed,No,2
R000163,Incomplete,Yes,1
R000164,Completed,No,3
R000165,Completed,No,5
R000166,Completed,No,2
R000167,Completed,No,1
R000168,Completed,No,2
R000169,Completed,No,1
R000170,Completed,No,1
R000171,Cancelled,No,4
R000172,Cancelled,No,4
R000173,Completed,No,5
R000174,Completed,No,2
R000175,Completed,No,5
R000176,Completed,No,3
R000177,Completed,No,2
R000178,Completed,No,2
R000179,Completed,No,5
R000180,Incomplete,Yes,5
R000181,Incomplete,Yes,2
R000182,Completed,No,5
R000183,Incomplete,Yes,5
R000184,Completed,No,5
R000185,Completed,No,5
R000186,Completed,No,2
R000187,Cancelled,No,2
R000188,Completed,No,2
R000189,Completed,No,5
R000190,Incomplete,Yes,4
R000191,Incomplete,Yes,4
R000192,Incomplete,Yes,4
R000193,Completed,No,2
R000194,Completed,No,2
R000195,Completed,No,3
R000196,Incomplete,Yes,1
R000197,Incomplete,Yes,1
R000198,Completed,No,4
R000199,Completed,No,2
R000200,Completed,No,1
R000201,Completed,No,1
R000202,Cancelled,No,2
R000203,Completed,No,1
R000204,Completed,No,1
R000205,Completed,No,3
R000206,Completed,No,4
R000207,Completed,No,3
R000208,Completed,No,1
R000209,Completed,No,5
R000210,Completed,No,3
R000211,Incomplete,Yes,5
R000212,Completed,No,1
R000213,Completed,No,1
R000214,Completed,No,1
R000215,Completed,No,5
R000216,Completed,No,5
R000217,Completed,No,5
R000218,Completed,No,4
R000219,Completed,No,4
R000220,Completed,No,3
R000221,Cancelled,No,3
R000222,Completed,No,2
R000223,Completed,No,1
R000224,Completed,No,1
R000225,Completed,No,1
R000226,Completed,No,3
R000227,Completed,No,3
R000228,Completed,No,1
R000229,Completed,No,5
R000230,Cancelled,No,2
R000231,Cancelled,No,1
R000232,Completed,No,1
R000233,Completed,No,2
R000234,Completed,No,4
R000235,Completed,No,3
R000236,Cancelled,No,3
R000237,Incomplete,Yes,4
R000238,Completed,No,2
R000239,Completed,No,4
R000240,Cancelled,No,4
R000241,Completed,No,3
R000242,Completed,No,2
R000243,Completed,No,3
R000244,Completed,No,1
R000245,Completed,No,3
R000246,Completed,No,5
R000247,Completed,No,4
R000248,Completed,No,2
R000249,Incomplete,Yes,4
R000250,Completed,No,5
R000251,Incomplete,Yes,4
R000252,Incomplete,Yes,1
R000253,Incomplete,Yes,4
R000254,Completed,No,2
R000255,Completed,No,1
R000256,Completed,No,1
R000257,Completed,No,1
R000258,Completed,No,4
R000259,Cancelled,No,3
R000260,Incomplete,Yes,5
R000261,Completed,No,1
R000262,Completed,No,4
R000263,Cancelled,No,4
R000264,Completed,No,4
R000265,Completed,No,4
R000266,Completed,No,2
R000267,Completed,No,3
R000268,Completed,No,3
R000269,Completed,No,4
R000270,Completed,No,4
R000271,Cancelled,No,2
R000272,Completed,No,1
R000273,Completed,No,1
R000274,Completed,No,2
R000275,Completed,No,3
R000276,Completed,No,2
R000277,Completed,No,4
R000278,Completed,No,2
R000279,Completed,No,2
R000280,Completed,No,5
R000281,Incomplete,Yes,5
R000282,Completed,No,4
R000283,Incomplete,Yes,4
R000284,Completed,No,5
R000285,Incomplete,Yes,2
R000286,Completed,No,4
R000287,Completed,No,4
R000288,Completed,No,4
R000289,Completed,No,5
R000290,Completed,No,2
R000291,Completed,No,2
R000292,Incomplete,Yes,1
R000293,Completed,No,1
R000294,Completed,No,5
R000295,Incomplete,Yes,1
R000296,Completed,No,3
R000297,Completed,No,5
R000298,Completed,No,5
R000299,Completed,No,2
R000300,Completed,No,1
R000301,Completed,No,4
R000302,Incomplete,Yes,3
R000303,Completed,No,1
R000304,Completed,No,5
R000305,Completed,No,3
R000306,Completed,No,4
R000307,Cancelled,No,5
R000308,Completed,No,3
R000309,Completed,No,5
R000310,Completed,No,4
R000311,Completed,No,5
R000312,Incomplete,Yes,4
R000313,Completed,No,2
R000314,Completed,No,2
R000315,Completed,No,5
R000316,Completed,No,2
R000317,Completed,No,5
R000318,Completed,No,2
R000319,Cancelled,No,3
R000320,Incomplete,Yes,2
R000321,Completed,No,2
R000322,Completed,No,4
R000323,Completed,No,3
R000324,Cancelled,No,2
R000325,Completed,No,3
R000326,Completed,No,2
R000327,Incomplete,Yes,5
R000328,Completed,No,2
R000329,Completed,No,5
R000330,Completed,No,2
R000331,Completed,No,4
R000332,Completed,No,5
R000333,Cancelled,No,3
R000334,Completed,No,2
R000335,Incomplete,Yes,4
R000336,Completed,No,1
R000337,Completed,No,2
R000338,Completed,No,2
R000339,Completed,No,2
R000340,Cancelled,No,2
R000341,Completed,No,3
R000342,Completed,No,2
R000343,Incomplete,Yes,1
R000344,Completed,No,5
R000345,Cancelled,No,2
R000346,Completed,No,5
R000347,Completed,No,1
R000348,Cancelled,No,1
R000349,Completed,No,1
R000350,Completed,No,4
R000351,Completed,No,5
R000352,Completed,No,3
R000353,Completed,No,1
R000354,Completed,No,1
R000355,Completed,No,5
R000356,Cancelled,No,1
R000357,Completed,No,2
R000358,Completed,No,1
R000359,Completed,No,5
R000360,Completed,No,4
R000361,Incomplete,Yes,5
R000362,Completed,No,5
R000363,Completed,No,1
R000364,Incomplete,Yes,4
R000365,Completed,No,5
R000366,Completed,No,4
R000367,Completed,No,2
R000368,Completed,No,1
R000369,Completed,No,4
R000370,Cancelled,No,2
R000371,Completed,No,3
R000372,Completed,No,4
R000373,Completed,No,2
R000374,Completed,No,2
R000375,Completed,No,2
R000376,Completed,No,3
R000377,Completed,No,3
R000378,Completed,No,3
R000379,Completed,No,4
R000380,Completed,No,1
R000381,Completed,No,5
R000382,Completed,No,1
R000383,Completed,No,3
R000384,Cancelled,No,1
R000385,Completed,No,5
R000386,Completed,No,5
R000387,Completed,No,5
R000388,Cancelled,No,3
R000389,Cancelled,No,2
R000390,Completed,No,1
R000391,Completed,No,1
R000392,Completed,No,1
R000393,Completed,No,1
R000394,Completed,No,5
R000395,Completed,No,2
R000396,Completed,No,1
R000397,Completed,No,2
R000398,Completed,No,3
R000399,Completed,No,1
R000400,Completed,No,5
R000401,Completed,No,2
R000402,Completed,No,3
R000403,Completed,No,2
R000404,Completed,No,3
R000405,Cancelled,No,5
R000406,Completed,No,3
R000407,Completed,No,3
R000408,Completed,No,2
R000409,Completed,No,2
R000410,Completed,No,1
R000411,Completed,No,2
R000412,Completed,No,4
R000413,Completed,No,5
R000414,Completed,No,3
R000415,Completed,No,1
R000416,Completed,No,3
R000417,Completed,No,5
R000418,Completed,No,2
R000419,Completed,No,2
R000420,Completed,No,1
R000421,Incomplete,Yes,3
R000422,Completed,No,1
R000423,Completed,No,1
R000424,Completed,No,1
R000425,Completed,No,2
R000426,Completed,No,1
R000427,Completed,No,1
R000428,Cancelled,No,4
R000429,Cancelled,No,5
R000430,Completed,No,4
R000431,Completed,No,5
R000432,Completed,No,2
R000433,Completed,No,4
R000434,Completed,No,4
R000435,Completed,No,5
R000436,Cancelled,No,1
R000437,Completed,No,1
R000438,Completed,No,1
R000439,Incomplete,Yes,1
R000440,Cancelled,No,2
R000441,Completed,No,5
R000442,Completed,No,1
R000443,Completed,No,3
R000444,Completed,No,2
R000445,Completed,No,4
R000446,Cancelled,No,5
R000447,Completed,No,4
R000448,Incomplete,Yes,3
R000449,Incomplete,Yes,1
R000450,Completed,No,3
R000451,Completed,No,2
R000452,Completed,No,3
R000453,Completed,No,3
R000454,Completed,No,4
R000455,Completed,No,3
R000456,Completed,No,2
R000457,Incomplete,Yes,2
R000458,Incomplete,Yes,4
R000459,Incomplete,Yes,1
R000460,Completed,No,4
R000461,Completed,No,4
R000462,Completed,No,4
R000463,Completed,No,3
R000464,Completed,No,1
R000465,Completed,No,1
R000466,Cancelled,No,3
R000467,Completed,No,2
R000468,Completed,No,5
R000469,Cancelled,No,5
R000470,Cancelled,No,4
R000471,Completed,No,2
R000472,Completed,No,3
R000473,Completed,No,1
R000474,Completed,No,1
R000475,Incomplete,Yes,3
R000476,Completed,No,1
R000477,Completed,No,3
R000478,Completed,No,1
R000479,Completed,No,1
R000480,Completed,No,5
R000481,Completed,No,1
